lines_of_code,cyclomatic_complexity,number_of_functions,number_of_parameters,nested_depth,if_statement_count,loop_count,imports_count,dependency_count,duplicate_code_score,exception_handling_count,database_queries,external_api_calls,cpu_usage,memory_usage,average_response_time,test_coverage,historical_bug_count,api_failure
1826,19,18,157,10,35,7,49,14,0.592,14,3,2,3.61,1683.68,3545.9,51.82,15,0
209,26,55,109,5,31,30,33,14,0.612,16,20,12,16.6,541.93,205.06,82.75,44,0
2754,48,29,114,9,57,25,19,16,0.405,9,14,5,6.56,1866.43,4525.28,85.79,46,1
3025,52,24,158,8,55,17,36,1,0.652,19,9,8,66.46,999.11,2593.69,54.45,13,1
4678,70,74,41,10,57,17,6,11,0.669,8,22,10,39.84,130.78,3244.67,93.72,14,0
1919,55,17,67,4,45,6,15,2,0.288,15,12,3,6.99,88.3,1274.64,3.02,11,1
1287,75,18,188,4,58,37,36,6,0.32,2,21,3,65.91,1009.99,919.14,1.01,42,1
1548,33,42,188,10,51,15,33,5,0.711,8,0,5,61.58,1133.39,1226.33,8.15,34,1
3222,62,84,69,5,35,32,24,13,0.42,7,24,5,68.68,193.1,1169.14,5.79,24,1
3576,23,45,77,3,27,2,27,22,0.694,6,21,2,57.38,1891.24,4323.86,42.46,13,0
3910,15,82,195,8,13,37,49,26,0.501,16,21,13,16.18,1479.93,3938.82,94.03,1,0
666,27,17,89,7,57,3,11,4,0.475,4,8,0,6.77,1647.39,4265.16,67.52,17,0
2908,75,73,110,5,35,35,49,29,0.025,6,4,2,77.81,1209.39,3677.01,65.95,34,1
2455,64,14,111,10,5,3,23,3,0.222,12,10,7,21.29,1369.7,3221.32,38.49,8,1
620,51,49,102,3,8,8,33,14,0.402,17,21,7,52.0,813.93,2644.09,53.38,10,0
2383,53,29,144,5,20,39,41,6,0.47,13,21,5,46.61,1401.46,1334.75,30.42,25,1
2081,78,95,18,3,11,16,46,2,0.504,17,22,6,87.58,2004.02,3529.76,51.78,2,0
261,51,4,178,10,57,16,47,12,0.573,2,24,1,52.93,1337.8,691.56,74.67,4,0
2061,47,82,69,5,29,32,29,9,0.525,16,20,8,55.52,720.73,2560.2,55.87,31,0
2844,4,20,62,1,30,19,31,22,0.679,18,20,2,31.03,607.04,984.42,41.89,40,0
2632,7,47,74,6,39,13,1,1,0.236,6,3,1,91.12,1974.11,2528.75,84.49,9,0
1383,35,9,157,10,55,21,34,11,0.513,3,19,4,58.56,404.96,1476.6,28.74,37,1
1498,48,77,152,4,3,26,18,27,0.041,14,15,0,1.47,1657.29,276.86,48.15,5,0
2576,73,79,103,4,30,2,18,23,0.384,7,23,4,53.27,969.97,2523.51,97.81,10,0
795,72,27,74,8,26,23,6,27,0.214,15,17,9,35.2,926.62,917.33,96.73,16,0
4034,45,15,127,2,57,29,40,21,0.305,0,7,3,4.02,1539.04,814.16,0.63,1,1
54,72,92,198,4,56,7,1,11,0.284,15,1,11,41.57,330.45,1927.99,53.22,40,0
3172,19,19,153,2,24,21,47,18,0.048,1,16,5,73.72,972.05,1815.32,33.69,23,0
1975,63,90,55,1,4,24,42,18,0.373,1,9,11,48.36,104.24,4336.12,29.12,49,0
1605,38,52,21,10,5,9,30,20,0.796,7,12,4,61.11,1383.54,2827.54,59.63,4,0
3963,67,26,88,3,4,28,4,2,0.239,11,14,8,61.14,149.69,4274.29,44.63,20,1
3093,59,89,18,8,50,39,32,5,0.589,10,8,4,64.08,207.97,742.71,73.28,5,0
1041,69,26,158,6,26,0,10,1,0.438,5,7,12,37.43,1735.17,1792.98,2.71,3,1
3481,13,26,25,7,7,20,43,23,0.26,18,5,7,35.78,925.0,2781.09,92.69,8,0
2633,47,46,169,2,8,38,5,12,0.072,17,3,11,1.43,437.17,774.11,56.76,4,0
3863,61,92,168,6,14,23,9,26,0.173,4,17,12,15.5,1226.65,649.0,68.41,3,0
1520,31,49,22,8,35,8,5,27,0.625,14,23,1,90.38,1078.88,3310.39,60.46,8,0
4818,22,82,46,8,56,25,11,26,0.223,7,2,2,80.19,860.39,3272.63,98.91,17,0
181,43,96,12,4,40,8,35,8,0.115,5,3,2,26.86,1857.32,1178.45,98.63,42,0
4317,67,53,65,6,6,19,27,12,0.265,11,20,2,38.71,1542.91,1143.35,60.99,15,1
2001,54,3,193,5,31,34,4,22,0.467,18,12,5,89.35,337.61,3729.77,68.4,1,1
1015,10,66,143,9,7,35,10,13,0.563,11,19,6,24.54,1182.68,593.77,61.86,28,0
4931,42,97,72,8,46,35,39,18,0.31,11,10,6,51.06,210.91,4617.08,31.07,47,1
3362,64,42,155,2,50,8,33,10,0.399,8,7,11,3.08,525.22,4719.26,19.26,41,1
4571,21,19,76,7,14,21,38,13,0.364,9,24,6,59.26,1866.28,4356.25,40.28,35,1
3818,76,17,162,7,36,0,8,15,0.007,16,13,11,88.43,963.55,1061.28,68.28,11,1
1295,66,33,168,11,18,4,49,9,0.316,17,13,2,84.17,1830.49,93.84,5.6,40,1
1036,41,76,30,1,38,8,24,19,0.47,15,15,0,48.19,366.65,4684.09,51.43,44,0
357,24,49,84,1,5,36,39,15,0.456,3,13,5,62.07,445.97,1726.42,40.84,36,0
898,35,56,159,4,58,37,33,27,0.6,17,0,2,54.56,743.29,1558.95,52.75,33,0
1096,56,63,181,5,18,18,41,25,0.536,2,1,12,7.3,770.51,1315.77,86.02,34,0
4907,30,3,199,4,56,7,43,1,0.221,15,19,14,15.92,1534.48,1230.24,4.76,39,0
4013,57,49,58,7,27,31,19,24,0.205,13,0,2,91.6,1240.41,3675.42,76.36,5,0
4879,47,55,40,3,16,12,2,15,0.371,8,10,14,25.06,1147.35,4540.39,66.69,36,1
399,35,26,111,7,41,19,11,13,0.586,5,5,2,37.14,1246.39,3932.42,20.38,35,0
512,19,99,193,8,18,35,35,20,0.075,3,14,14,48.84,1508.1,3373.8,73.42,19,0
2082,8,72,95,6,30,36,17,27,0.759,1,11,8,93.04,1831.92,1445.91,49.64,15,0
3904,26,52,181,6,10,29,42,17,0.435,9,4,11,65.86,868.12,2739.35,48.1,7,0
84,71,7,167,8,14,9,3,25,0.245,10,22,14,60.18,1650.7,1192.47,48.31,43,1
2588,30,46,121,8,9,30,22,5,0.555,6,11,3,50.29,1030.12,566.42,94.92,21,0
2047,7,46,155,7,42,24,35,6,0.036,4,21,4,66.86,1487.71,610.26,94.44,4,0
2715,67,16,164,6,22,28,21,12,0.388,3,13,2,63.42,1795.64,3022.81,91.36,4,1
1515,65,24,104,6,2,23,25,1,0.389,5,13,9,85.87,96.95,202.01,88.67,44,0
411,36,61,192,10,2,38,39,14,0.13,1,18,12,51.93,1134.01,4866.54,3.76,10,0
4534,25,54,73,11,17,20,2,16,0.67,1,4,14,40.62,2026.59,4977.38,40.06,42,1
4494,37,62,182,6,24,8,1,12,0.637,15,2,11,76.87,1032.39,755.63,89.49,18,0
3581,1,1,131,8,42,1,7,6,0.122,12,24,0,76.18,1774.44,2142.24,75.51,38,0
2298,15,49,98,1,19,3,20,0,0.291,6,17,14,16.96,406.77,3842.7,45.67,16,0
3119,37,25,125,5,57,7,43,2,0.08,4,5,11,23.26,1250.24,4775.78,77.33,36,0
220,13,10,137,3,28,31,6,19,0.679,16,8,3,91.11,1786.54,4457.69,20.82,37,0
4895,8,80,174,8,21,13,36,17,0.259,12,6,14,42.75,901.97,1281.23,59.98,17,0
3124,5,16,74,11,49,12,21,6,0.351,14,20,0,49.85,1013.23,435.13,53.3,49,0
4618,60,58,13,6,56,20,46,20,0.259,2,17,10,30.16,197.35,1450.76,57.35,8,0
2474,73,72,37,2,14,23,35,16,0.248,3,1,10,46.22,117.02,2191.81,72.18,49,0
3665,1,29,139,7,38,17,36,27,0.598,14,19,6,70.88,976.92,1806.09,94.98,16,0
824,36,92,44,7,9,39,8,11,0.598,17,9,6,46.34,1732.45,3871.61,26.4,40,0
2751,35,6,144,5,20,25,4,15,0.414,2,11,14,30.59,1909.55,1296.36,75.81,32,0
2793,66,16,162,8,54,31,43,23,0.526,6,1,3,10.02,1359.84,4294.6,64.51,19,1
1590,63,20,193,5,51,32,16,9,0.409,7,12,14,88.26,1698.02,1135.92,69.51,17,1
2710,23,80,74,1,28,30,3,22,0.023,10,7,4,82.94,1513.47,1813.15,42.89,23,0
3860,9,71,168,9,31,17,7,15,0.053,8,22,9,75.39,1446.2,2244.57,94.46,12,0
1048,34,78,194,4,9,34,2,19,0.307,19,6,6,66.24,1582.37,1463.18,47.97,39,0
522,46,43,28,2,12,11,1,17,0.6,11,2,12,49.46,1050.69,3834.2,12.16,27,0
4513,78,26,17,4,46,24,1,14,0.731,4,22,5,85.36,955.2,2053.64,68.07,45,1
890,4,90,19,9,22,30,38,22,0.024,0,7,12,75.42,352.83,4436.26,12.89,2,0
4508,30,78,13,2,49,9,7,10,0.294,13,20,3,77.71,1733.13,4818.31,32.27,35,0
226,75,71,161,4,22,33,24,17,0.179,2,0,3,30.1,121.94,4300.44,22.8,10,0
1504,72,33,176,2,30,2,5,5,0.652,14,14,1,40.81,571.17,2617.9,53.89,38,0
883,3,26,53,5,3,38,21,0,0.677,9,0,9,67.44,1080.15,2553.94,34.75,20,0
2810,14,45,30,3,51,7,28,29,0.165,9,11,1,35.88,1990.74,1087.2,15.99,36,0
583,60,84,57,10,48,31,18,22,0.569,2,10,11,47.43,1616.52,2965.47,79.08,1,0
4211,77,63,103,2,59,28,24,6,0.585,5,15,3,61.77,775.24,4764.1,46.85,5,1
1777,45,67,169,9,2,21,32,11,0.142,4,3,4,42.15,1471.32,412.23,45.44,4,0
1698,34,52,185,5,20,19,45,19,0.347,18,1,3,75.55,1909.64,3764.76,88.64,46,0
3262,45,68,127,10,52,5,33,3,0.496,13,22,13,11.93,1118.39,4349.0,53.88,42,0
4656,61,26,157,5,1,28,10,9,0.021,16,2,2,68.5,963.27,4933.65,70.99,31,1
1079,16,75,24,1,3,16,9,20,0.324,11,3,10,14.65,1146.83,1680.44,32.81,36,0
1742,66,2,190,6,0,30,49,1,0.124,8,24,1,89.16,660.04,1784.31,56.13,49,1
3334,40,14,18,7,14,33,33,8,0.434,2,17,3,30.52,1861.22,1156.58,72.64,39,1
3177,17,30,199,1,56,37,33,9,0.674,17,11,13,75.77,1639.32,3947.43,29.65,10,0
2645,34,49,135,9,32,36,7,19,0.42,3,23,10,50.01,1454.26,708.8,68.85,16,0
2749,16,12,2,8,5,3,4,10,0.029,13,0,4,9.56,1219.61,1346.16,56.88,13,0
1617,60,90,194,8,6,1,28,24,0.024,5,2,0,55.76,1986.46,1483.36,43.42,1,0
3080,66,44,85,7,18,11,23,13,0.484,14,3,14,86.74,632.17,1880.9,71.3,38,1
2713,66,33,144,5,43,34,32,2,0.262,16,5,12,15.78,602.8,2114.11,31.69,17,1
4911,13,13,141,3,0,5,44,24,0.458,4,16,0,31.2,520.15,2799.53,71.45,32,0
3647,56,78,8,9,38,7,16,0,0.131,5,7,5,42.28,1527.42,4742.38,55.11,29,0
1383,31,88,189,7,18,20,46,6,0.621,4,17,4,26.85,1639.33,1243.93,24.56,14,0
2001,34,98,93,11,44,34,10,3,0.689,18,15,10,89.72,1235.78,3898.31,66.83,28,0
1683,39,26,148,10,25,14,14,6,0.711,13,20,3,36.49,1346.4,3385.19,88.48,25,0
1549,67,21,164,10,43,6,39,15,0.243,3,5,0,62.86,735.5,589.09,31.0,0,1
2058,8,28,138,8,11,14,36,29,0.529,4,23,11,22.05,112.15,4053.78,81.23,16,0
3322,78,48,19,6,21,5,34,9,0.223,10,18,13,21.65,543.33,462.15,33.61,38,1
2257,55,40,34,11,12,16,24,14,0.61,1,24,6,17.53,1209.96,3697.24,82.11,47,1
1326,27,66,52,5,27,3,18,15,0.096,1,20,14,41.87,1670.87,3581.78,5.12,1,0
4049,53,73,174,8,13,21,16,5,0.61,19,7,3,51.09,1598.83,3450.12,0.72,14,1
2695,39,87,109,3,21,31,41,3,0.352,11,3,2,2.01,393.85,1390.69,11.33,21,0
1302,65,79,179,7,29,21,37,3,0.684,15,8,13,79.29,135.72,2871.1,87.39,19,0
729,17,77,135,2,43,26,41,23,0.591,16,7,6,49.2,1746.73,3810.27,53.37,28,0
4764,30,23,3,3,19,14,25,22,0.301,3,20,1,15.78,184.39,3191.58,59.41,24,0
4433,53,81,154,2,43,21,8,3,0.723,13,18,9,7.33,824.92,4023.49,84.22,42,0
3768,13,48,171,5,26,27,24,26,0.227,6,0,0,6.94,221.96,3442.53,5.06,23,0
4799,21,2,167,7,37,37,20,21,0.774,14,20,10,25.22,1169.12,1379.5,38.71,33,1
683,19,84,101,11,58,8,48,21,0.614,15,20,3,47.93,764.49,773.75,64.31,42,0
2018,53,20,46,10,41,33,30,16,0.793,7,3,12,81.86,440.23,3163.58,40.47,20,1
3465,19,59,93,11,51,35,20,12,0.043,1,9,7,85.88,1231.86,3801.19,3.21,47,0
3763,57,46,171,11,55,8,18,1,0.219,18,7,12,79.24,764.6,720.19,65.09,1,0
1515,25,3,47,11,40,14,4,19,0.593,0,2,5,31.88,368.25,882.35,39.14,15,1
3324,31,55,90,10,33,19,48,5,0.738,3,11,8,29.82,1443.37,70.23,1.92,39,1
3783,55,12,179,1,38,7,36,21,0.023,10,8,0,93.82,1719.01,2663.43,17.05,20,1
1873,23,40,83,10,40,27,6,0,0.0,9,2,0,65.04,583.87,2716.03,21.76,36,0
4679,32,66,67,9,56,18,3,7,0.205,17,3,10,29.67,407.83,2505.38,51.06,7,0
1311,62,78,138,1,43,15,18,17,0.682,0,5,4,31.93,183.71,1586.89,18.64,13,0
3601,74,16,124,1,36,10,47,28,0.614,16,8,5,41.86,1096.25,2144.78,36.13,45,1
3477,10,83,72,10,0,7,40,20,0.272,15,1,7,59.45,1707.89,3833.52,75.07,21,0
1656,72,34,3,8,53,32,18,3,0.002,11,1,2,85.41,537.59,917.17,80.77,17,0
3716,54,44,75,6,14,9,23,4,0.444,15,17,5,19.64,960.65,1015.72,79.54,4,0
3019,52,6,72,6,31,17,35,4,0.19,8,20,2,8.93,356.18,3338.22,69.51,41,0
3172,20,77,76,9,7,34,6,14,0.596,16,21,7,39.14,846.87,4335.84,54.18,46,0
718,32,64,47,4,32,2,26,9,0.357,2,2,11,24.07,63.14,1708.56,55.06,44,0
2180,14,22,153,8,17,39,21,7,0.543,17,2,10,55.15,1868.03,4664.39,95.34,29,0
4117,50,18,101,4,44,26,24,25,0.682,14,17,10,66.73,1395.97,297.8,87.79,30,1
4757,28,12,105,2,28,27,15,6,0.429,14,5,3,30.21,702.95,601.41,64.98,8,0
874,53,52,76,11,31,5,27,11,0.269,15,0,1,65.43,1808.5,2305.2,46.85,30,0
3494,24,94,38,8,32,13,32,29,0.616,19,24,11,33.26,400.79,3620.19,72.91,30,0
1727,79,51,57,7,4,6,12,24,0.212,0,14,8,60.69,190.73,1860.48,6.27,40,1
2797,22,71,18,4,17,9,5,27,0.713,0,10,14,60.51,1932.33,2778.19,94.46,8,0
1753,30,96,87,9,47,14,7,10,0.057,3,9,9,27.15,654.98,152.57,54.76,36,0
4951,63,48,112,9,57,30,22,12,0.668,12,3,14,60.76,1918.92,2314.55,50.28,5,1
3530,4,19,76,8,9,28,27,14,0.073,3,13,12,36.81,1317.43,1220.45,29.08,41,0
222,77,6,76,1,35,16,15,16,0.045,7,1,7,32.63,2007.77,2586.68,0.34,25,1
3275,59,84,185,7,32,28,39,21,0.291,12,12,14,28.19,1550.91,2633.91,6.12,9,1
4238,8,27,27,5,22,14,45,21,0.765,7,15,5,33.49,244.66,3768.26,26.3,5,0
4516,12,53,65,7,39,25,35,17,0.787,13,11,2,74.95,1750.09,2703.81,54.15,32,1
786,31,48,9,9,4,11,26,26,0.162,0,21,1,24.05,330.12,3075.2,8.36,44,0
4409,78,7,125,2,33,24,23,7,0.119,8,4,12,65.11,1427.47,2652.94,97.21,29,1
2347,34,59,57,11,23,4,13,5,0.282,0,18,3,85.66,1040.82,4951.98,41.1,39,0
2951,75,69,141,4,16,3,26,10,0.27,6,2,3,33.94,1458.77,3960.18,31.63,23,1
217,76,11,124,4,30,30,3,28,0.608,19,20,0,3.77,1574.22,3780.67,52.52,27,1
1950,49,15,111,2,6,2,29,25,0.355,12,19,14,3.31,1652.19,3140.02,6.5,44,1
3602,79,64,83,3,16,2,2,8,0.624,14,20,8,14.11,1715.32,2646.57,85.05,37,0
628,57,3,142,11,27,25,28,25,0.599,8,1,9,11.34,1740.0,1730.34,46.03,28,1
3292,26,69,95,8,37,16,23,4,0.463,15,16,7,71.32,863.75,3922.0,17.83,43,0
1167,18,23,32,9,21,9,36,6,0.667,16,20,6,28.72,1824.68,956.15,16.17,14,0
4302,38,53,144,6,14,1,49,21,0.157,8,10,5,62.34,1482.67,192.38,36.1,7,0
3417,50,37,151,10,36,23,6,26,0.129,5,0,2,4.99,1723.37,3493.88,57.34,22,1
2531,8,9,157,2,14,10,11,14,0.601,19,18,3,28.8,2026.21,732.81,41.69,42,0
1814,41,15,189,2,49,23,38,20,0.196,11,7,1,23.01,266.69,4520.09,59.68,8,0
679,6,3,140,7,49,34,34,21,0.002,15,10,6,27.03,779.09,3855.7,70.55,10,0
2831,69,93,189,8,24,22,17,3,0.73,14,7,1,18.93,1658.0,3015.2,74.85,5,0
1389,44,70,46,8,52,31,3,18,0.498,6,24,13,59.08,205.99,1576.48,40.1,46,0
2006,64,17,111,6,20,22,44,12,0.356,9,16,14,63.29,1122.21,3193.33,71.7,48,1
166,29,26,143,10,54,33,46,0,0.581,3,19,9,14.96,1762.53,2389.51,14.15,11,0
3239,28,21,193,8,37,18,34,0,0.267,2,5,0,70.67,70.29,1462.83,51.31,33,0
2931,11,72,42,1,1,1,22,21,0.763,17,6,5,24.5,1926.07,4725.94,7.25,20,0
1754,65,21,7,9,26,1,29,13,0.055,0,20,3,27.59,2003.94,817.83,24.41,31,1
1863,19,11,2,1,48,14,29,8,0.513,12,12,14,78.91,681.72,3769.38,58.32,35,0
508,9,38,124,3,31,20,5,23,0.622,17,6,7,85.71,1577.85,4002.19,74.04,24,0
2996,27,72,11,9,20,34,10,11,0.375,7,10,0,78.53,288.39,4759.46,9.53,34,0
1979,34,88,83,11,3,4,10,17,0.604,10,9,8,14.89,1590.09,2751.59,20.71,33,0
2405,44,35,15,5,43,26,9,8,0.742,9,7,5,94.93,1002.75,2679.03,99.19,18,0
2939,68,14,77,9,18,23,21,7,0.595,3,9,13,64.18,1766.31,4602.24,33.77,36,1
4756,15,14,58,9,1,6,13,29,0.247,3,21,1,49.0,460.61,4007.46,28.4,16,0
1822,51,10,176,6,25,5,10,13,0.449,3,10,7,90.76,1388.08,3820.55,8.53,15,1
4081,13,12,62,11,33,32,38,27,0.729,11,19,4,77.83,1616.82,3947.79,69.48,15,1
3389,49,38,189,1,13,16,11,8,0.359,7,16,4,66.02,440.22,2470.97,50.83,43,1
282,70,34,48,10,14,29,4,19,0.545,12,10,4,79.81,1681.67,216.68,15.76,3,1
643,56,41,50,7,19,7,46,24,0.372,7,15,6,37.23,1963.3,999.34,63.29,48,0
1036,76,10,32,6,33,39,31,1,0.097,2,4,6,65.34,1274.01,3218.53,52.58,29,1
3663,51,17,29,9,35,6,49,28,0.047,11,9,9,18.91,1614.26,1986.87,56.49,33,1
4996,37,17,186,7,18,5,34,0,0.762,17,19,10,93.87,1105.69,3037.78,99.49,4,0
2069,17,67,75,11,8,3,42,12,0.49,14,4,6,56.36,1237.78,2762.87,2.86,32,0
3743,58,62,14,4,6,0,35,24,0.083,13,19,11,77.54,58.92,2198.91,91.5,45,0
4568,29,95,81,7,29,14,39,9,0.686,8,8,9,39.29,1088.96,1181.29,84.19,8,0
3128,33,1,91,2,12,30,39,7,0.418,4,2,1,72.31,1192.34,3597.61,41.53,16,0
4110,60,12,22,6,26,24,33,6,0.618,14,2,7,37.41,1382.82,4546.14,88.09,11,1
2076,55,4,93,6,43,32,8,29,0.101,7,9,0,56.46,373.49,3852.12,64.86,23,1
3190,10,42,44,2,34,34,32,28,0.726,2,6,12,74.14,518.61,608.99,88.94,11,0
1702,47,13,61,4,12,4,33,23,0.472,11,1,13,11.95,1556.11,2694.37,59.47,14,1
2275,23,98,198,8,14,4,8,11,0.591,4,24,1,34.54,369.96,4178.48,21.61,15,0
1174,21,85,14,8,45,35,46,16,0.025,8,7,10,52.22,870.71,2959.0,57.62,22,0
4519,13,86,45,8,55,16,14,29,0.252,19,11,6,32.4,536.99,2203.45,17.91,17,0
3211,33,4,63,8,8,13,34,24,0.214,2,21,3,30.06,1131.09,1429.89,14.08,21,1
1716,24,82,173,1,44,28,8,11,0.76,7,8,10,27.48,2021.53,1658.65,65.41,45,0
4011,11,69,183,2,22,7,42,15,0.148,12,10,9,22.41,1749.71,1218.36,94.75,43,0
4743,17,19,171,4,53,33,7,9,0.566,7,18,9,80.8,575.26,986.67,58.85,30,0
4702,68,2,74,9,35,39,13,26,0.034,4,19,8,87.83,775.12,2948.44,79.58,42,1
1668,47,12,156,3,52,0,21,24,0.158,6,22,10,66.82,1883.97,2551.83,16.84,14,1
1465,25,81,189,6,39,28,47,11,0.271,4,16,8,3.82,1842.96,3676.82,65.42,20,0
4219,73,74,51,7,2,35,32,10,0.636,8,12,13,74.91,355.62,1546.57,73.3,7,0
3943,21,98,181,8,33,36,11,24,0.632,4,0,2,51.0,1703.81,2309.51,4.16,48,1
273,12,6,87,7,18,28,14,28,0.762,7,0,12,72.26,631.98,3405.05,9.72,39,0
3203,37,8,56,3,27,4,11,13,0.733,11,7,13,42.11,1128.31,4816.54,78.16,35,1
2577,42,51,82,6,22,31,2,21,0.065,3,12,12,4.88,42.28,1750.86,44.0,41,0
118,17,11,65,5,39,23,34,19,0.664,8,5,2,65.08,2045.16,1498.06,40.56,37,0
2220,48,63,149,10,48,18,44,12,0.361,13,2,8,42.75,1566.37,2251.95,92.04,5,0
2981,28,57,19,4,44,11,47,1,0.693,18,15,12,83.16,519.33,3622.13,99.2,16,0
4993,41,12,32,1,6,0,17,26,0.071,12,9,9,70.38,1410.53,4808.14,76.44,39,1
4453,47,73,71,7,40,6,14,19,0.658,2,6,14,34.8,623.31,2687.32,79.26,44,1
3797,18,2,24,8,11,16,25,6,0.128,3,21,11,69.06,212.34,4064.08,20.83,46,0
2889,78,8,45,2,13,33,48,0,0.267,0,20,7,47.55,889.42,2327.36,19.22,35,1
3254,71,11,72,7,45,6,27,29,0.023,0,2,0,19.75,1269.26,208.89,98.07,27,0
3811,13,53,97,6,14,16,8,24,0.099,10,13,5,40.47,212.99,4472.11,69.51,46,0
976,13,10,56,5,2,2,17,2,0.357,15,15,6,21.92,1077.11,1456.49,68.67,22,0
4087,31,85,86,4,14,28,5,28,0.655,3,3,13,1.47,1069.97,701.94,28.62,30,0
180,2,84,132,2,50,21,12,28,0.619,6,12,10,24.2,1299.35,4980.85,88.65,45,0
4513,16,8,54,10,23,37,38,19,0.188,11,0,13,20.7,525.21,1743.52,4.44,10,0
1320,9,36,60,6,51,28,18,11,0.121,5,24,7,1.41,73.61,691.33,27.46,19,0
4931,73,93,88,5,45,4,26,4,0.311,19,4,11,74.69,686.91,1564.6,18.01,31,1
4007,38,76,7,2,7,29,31,11,0.707,8,17,11,8.24,835.54,2574.05,71.11,16,0
1547,75,14,15,10,4,22,37,28,0.073,7,11,1,43.21,1313.65,448.91,71.53,41,1
1238,54,54,175,7,50,20,6,2,0.434,13,10,13,40.28,1907.23,1769.58,53.47,37,0
4516,56,85,115,6,3,25,41,19,0.071,14,8,0,18.05,442.03,3347.59,0.53,5,0
4755,45,86,60,11,13,20,15,4,0.376,4,6,3,91.89,1417.66,4580.5,87.38,0,0
3124,34,21,14,9,15,19,42,27,0.101,14,13,0,57.75,228.36,1993.21,95.56,36,0
2755,9,50,192,11,19,22,49,0,0.064,5,23,1,77.47,416.29,2827.18,20.23,3,0
4575,8,94,149,10,23,3,26,15,0.153,0,2,2,47.64,1058.42,3183.95,84.22,30,0
974,7,39,130,5,5,20,12,29,0.204,19,15,3,68.94,1460.09,363.06,97.33,10,0
4585,36,20,101,9,54,20,41,8,0.221,8,6,11,92.16,1762.87,1717.7,32.7,16,1
3466,18,88,53,9,56,0,47,9,0.516,3,0,11,33.75,1531.71,3424.43,18.51,6,0
1065,3,87,13,1,30,14,14,28,0.044,1,5,5,48.4,62.95,3680.95,97.75,34,0
1713,28,7,35,5,5,16,1,9,0.065,5,5,7,49.37,1410.81,1786.2,5.97,1,0
3456,70,9,104,9,34,13,17,12,0.151,1,9,8,94.25,1694.51,43.61,27.6,39,1
582,44,1,81,7,14,18,33,15,0.698,2,11,14,22.91,1091.48,44.26,74.2,36,1
2505,21,26,66,6,28,33,29,29,0.503,6,21,3,64.48,1978.65,2695.22,61.74,36,1
3374,28,38,9,6,2,5,45,19,0.584,19,18,0,13.99,40.69,2761.91,68.45,9,0
245,54,38,48,11,10,5,31,28,0.296,16,5,13,88.14,1682.41,2783.04,70.81,11,0
4913,54,61,110,7,2,4,8,24,0.171,8,13,4,56.5,707.0,3611.55,68.61,16,0
